epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,16837.9,1.63573,2.05011,1.40378,0.65968,0.6859,0.69363,0.45179,1.2704,1.08278,1.22734,0.002476,0.002476,0.002476
78,17057.3,1.62241,2.04625,1.39455,0.65972,0.68423,0.69804,0.45623,1.26743,1.0622,1.23196,0.002377,0.002377,0.002377
79,17275.8,1.62003,2.05502,1.39943,0.62948,0.70451,0.70319,0.46063,1.26408,1.06275,1.22908,0.002278,0.002278,0.002278
80,17493.7,1.58953,1.97643,1.37485,0.64972,0.68829,0.71711,0.46808,1.26167,1.04704,1.2281,0.002179,0.002179,0.002179
81,17711.2,1.62531,2.05251,1.39266,0.65348,0.68627,0.70228,0.45768,1.26742,1.05631,1.23241,0.00208,0.00208,0.00208
82,17928.2,1.60048,2.01649,1.39103,0.67197,0.6746,0.70075,0.45695,1.26568,1.05426,1.23368,0.001981,0.001981,0.001981
83,18144.8,1.59942,1.9979,1.38673,0.64221,0.67659,0.68599,0.44597,1.26766,1.06146,1.23619,0.001882,0.001882,0.001882
84,18361.6,1.58748,1.97687,1.37366,0.65566,0.65625,0.67945,0.444,1.26498,1.06292,1.23317,0.001783,0.001783,0.001783
85,18578.8,1.61575,2.017,1.38923,0.63676,0.66501,0.66812,0.43563,1.2662,1.07788,1.23155,0.001684,0.001684,0.001684
86,18795.1,1.57801,1.97167,1.37116,0.63116,0.66451,0.66426,0.43135,1.26477,1.0726,1.22804,0.001585,0.001585,0.001585
87,19012,1.58588,1.98345,1.37519,0.61071,0.68494,0.67208,0.43538,1.26409,1.07081,1.22954,0.001486,0.001486,0.001486
88,19229.1,1.56304,1.93516,1.35744,0.6163,0.68702,0.66566,0.43111,1.26507,1.07777,1.22997,0.001387,0.001387,0.001387
